px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
140.335	17.033	2.91755	0.286756	-0.0928233	140.305	17.5379	140.242	17.1733	2.63994	1.07503	0.0628882
142.893	17.9842	2.83491	0.343383	0.0122524	142.888	17.9918	142.868	18.2829	2.65497	1.16346	0.121453
142.631	17.986	2.84325	0.328165	-0.011715	142.626	18.1458	142.868	18.2829	2.65497	1.16346	0.56777
145.392	19.1531	2.97899	0.459485	0.0886343	145.392	19.1617	145.51	19.4754	2.66445	1.23795	0.116353
145.476	19.164	3.07632	0.455839	0.0848702	145.789	19.3785	145.51	19.4754	2.66445	1.23795	1.60064
148.244	20.4776	3.27402	0.44851	0.0197963	148.251	20.4754	148.163	20.7364	2.66951	1.29702	0.079442
148.225	20.4751	2.99816	0.463938	0.0392692	148.146	20.9376	148.163	20.7364	2.66951	1.29702	0.181869
150.687	22.1071	3.11855	0.63379	0.131257	150.686	22.1142	150.825	22.0502	2.67111	1.33953	0.0935888
150.684	22.1037	3.32406	0.617684	0.106921	150.649	21.8148	150.825	22.0502	2.67111	1.33953	0.187504
153.414	23.5034	3.12233	0.439479	-0.0950279	153.422	23.4909	153.491	23.3999	2.66999	1.3647	0.442679
153.401	23.4991	2.98288	0.446394	-0.0868945	153.466	22.9115	153.491	23.3999	2.66999	1.3647	0.0667477
156.045	24.804	3.12802	0.426126	-0.0398353	156.047	24.8084	156.159	24.7682	2.66666	1.37208	0.0356736
156.033	24.803	2.84183	0.438695	-0.0214477	156.009	25.0678	156.159	24.7682	2.66666	1.37208	0.189342
158.905	26.0268	2.7653	0.476518	0.0197359	158.905	26.0308	158.827	26.1372	2.66127	1.36157	0.190809
158.931	26.0318	3.13197	0.434229	-0.0150151	159.014	26.1903	158.827	26.1372	2.66127	1.36157	0.254611
161.418	27.4229	2.95005	0.516403	0.0516672	161.412	27.4256	161.493	27.4891	2.65371	1.33344	0.0761708
161.45	27.4289	2.9377	0.515893	0.0534781	161.529	27.8454	161.493	27.4891	2.65371	1.33344	0.30601
163.632	28.7718	2.60175	0.564781	0.0521758	163.625	28.7683	164.155	28.8064	2.64354	1.28825	0.0836763
163.753	28.7936	2.9816	0.532483	0.0204201	164.116	29.315	164.155	28.8064	2.64354	1.28825	3.04666
166.806	30.2073	3.72009	0.361819	-0.117564	166.828	30.2062	166.809	30.0721	2.63006	1.22694	0.659728
166.748	30.1912	3.0151	0.391378	-0.0818653	166.748	29.7121	166.809	30.0721	2.63006	1.22694	1.18198
169.108	31.3677	2.67014	0.437966	0.00862919	169.097	31.3717	169.452	31.2706	2.61238	1.15075	0.185987
169.226	31.3728	2.76992	0.413429	-0.0294128	169.345	30.7063	169.452	31.2706	2.61238	1.15075	0.933268
172.175	32.3425	2.73131	0.350652	-0.0528124	172.175	32.3404	172.079	32.3873	2.58945	1.06126	0.00704809
172.179	32.3441	2.87877	0.334918	-0.0649211	172.135	32.6666	172.079	32.3873	2.58945	1.06126	0.021426
174.646	33.4552	2.83937	0.428097	0.0407759	174.643	33.4625	174.685	33.4095	2.56021	0.960341	0.116325
174.628	33.4525	2.74922	0.431571	0.044947	174.474	33.9157	174.685	33.4095	2.56021	0.960341	0.0778765
177.028	34.2127	2.57487	0.2717	-0.0979697	177.03	34.2009	177.261	34.3262	2.52363	0.850119	0.224102
177.047	34.2157	2.56159	0.269417	-0.099537	177.211	33.8467	177.261	34.3262	2.52363	0.850119	0.119589
180.122	35.1294	3.65969	0.299788	-0.00908811	180.145	35.1423	179.799	35.1289	2.47883	0.732949	0.976258
179.988	35.1088	2.69284	0.320712	0.021319	179.543	35.4767	179.799	35.1289	2.47883	0.732949	3.7516
182.593	35.7586	2.8624	0.212915	-0.0677669	182.599	35.753	182.292	35.8114	2.42515	0.611338	0.106557
182.499	35.7391	2.51887	0.220965	-0.0619675	182.047	36.2626	182.292	35.8114	2.42515	0.611338	1.83931
184.735	36.5047	2.46531	0.345743	0.0665395	184.732	36.5155	184.73	36.37	2.36226	0.487877	0.17188
184.732	36.5052	2.2932	0.350011	0.0726914	184.833	36.1451	184.73	36.37	2.36226	0.487877	0.0807768
186.938	36.9554	2.34292	0.164174	-0.104035	186.946	36.9404	187.103	36.804	2.29017	0.365145	0.333795
187.005	36.9688	2.44807	0.156548	-0.10945	187.296	36.9375	187.103	36.804	2.29017	0.365145	1.07943
189.46	37.3982	2.70609	0.155005	-0.0365031	189.465	37.4052	189.401	37.1147	2.20928	0.245623	0.103589
189.477	37.4016	2.3293	0.15672	-0.0344749	189.738	36.951	189.401	37.1147	2.20928	0.245623	0.711199
191.733	37.5681	2.40118	0.0361399	-0.0930364	191.735	37.5631	191.615	37.3064	2.12037	0.131591	0.0388581
